code,date,open,close,high,low,volume,money
000300.XSHG,2020-02-12,3945.67,3984.43,3984.43,3940.67,12671032100.0,200776706549.8
000300.XSHG,2020-02-13,3985.88,3959.92,3999.55,3950.14,14500184300.0,228605964793.4
000300.XSHG,2020-02-14,3954.23,3987.73,4001.56,3954.02,14323980300.0,222895073624.8
000300.XSHG,2020-02-17,3999.65,4077.42,4077.45,3999.65,18277896900.0,273067817277.8
000300.XSHG,2020-02-18,4069.83,4057.51,4076.39,4027.79,16323622000.0,242552517334.4
000300.XSHG,2020-02-19,4049.59,4051.31,4085.17,4042.85,16904644100.0,257554535729.8
000300.XSHG,2020-02-20,4062.9,4144.66,4148.53,4055.81,21223262400.0,310835589162.3
000300.XSHG,2020-02-21,4134.87,4149.49,4184.44,4130.17,21721360400.0,326564003558.5
000300.XSHG,2020-02-24,4131.84,4132.84,4149.01,4097.18,21286930300.0,326387800605.7
000300.XSHG,2020-02-25,4066.3,4123.85,4126.71,4020.91,24416783100.0,372213717029.5
000300.XSHG,2020-02-26,4070.1,4073.02,4132.78,4061.13,26109406100.0,366022417907.4
000300.XSHG,2020-02-27,4084.08,4084.88,4110.53,4067.44,18129098100.0,282050206371.0
000300.XSHG,2020-02-28,3988.73,3940.05,4031.15,3928.07,23027509300.0,330358907265.5
000300.XSHG,2020-03-02,3968.84,4069.67,4092.54,3968.84,21931355900.0,317426205457.1
000300.XSHG,2020-03-03,4125.14,4091.36,4147.65,4067.91,21936977700.0,330802584618.9
000300.XSHG,2020-03-04,4078.5,4115.05,4115.26,4060.73,18242473000.0,281784863844.9
000300.XSHG,2020-03-05,4150.21,4206.73,4215.85,4127.04,23182311500.0,362838831775.5
000300.XSHG,2020-03-06,4158.2,4138.51,4181.31,4135.39,17247571700.0,253168631958.9
000300.XSHG,2020-03-09,4063.08,3997.13,4063.08,3995.13,20810203500.0,305428730303.8
000300.XSHG,2020-03-10,3975.23,4082.73,4093.0,3954.75,19741640200.0,296184435851.3
000300.XSHG,2020-03-11,4090.93,4028.43,4091.27,4028.4,16165611100.0,244990872685.9
000300.XSHG,2020-03-12,3976.11,3950.91,3987.43,3926.27,15706045800.0,233152848759.1
000300.XSHG,2020-03-13,3771.01,3895.31,3937.18,3765.15,18829672200.0,280213453213.7
000300.XSHG,2020-03-16,3899.86,3727.84,3899.86,3720.51,18596826000.0,282836238271.2
000300.XSHG,2020-03-17,3739.78,3709.68,3786.89,3618.31,16624612900.0,250824025696.9
000300.XSHG,2020-03-18,3729.69,3636.26,3775.85,3636.26,15503754700.0,244127161535.3
000300.XSHG,2020-03-19,3623.79,3589.09,3647.99,3503.19,18080740700.0,271827467961.6
000300.XSHG,2020-03-20,3629.51,3653.22,3663.95,3588.78,13960300000.0,211223073323.1
000300.XSHG,2020-03-23,3542.68,3530.31,3585.8,3523.79,13710879000.0,197669624970.1
000300.XSHG,2020-03-24,3598.65,3625.11,3627.76,3545.45,14310302100.0,208553840688.5
000300.XSHG,2020-03-25,3711.48,3722.52,3732.65,3685.99,15349595800.0,231561518761.2
000300.XSHG,2020-03-26,3692.61,3698.05,3736.25,3681.27,11231066500.0,169336311861.4
000300.XSHG,2020-03-27,3746.39,3710.06,3758.78,3709.92,12406099500.0,186103426334.7
000300.XSHG,2020-03-30,3657.46,3674.11,3690.64,3637.59,12687667300.0,180640799409.3
000300.XSHG,2020-03-31,3708.14,3686.16,3716.07,3676.2,11145302500.0,161595510008.2
000300.XSHG,2020-04-01,3682.3,3675.08,3731.78,3670.97,11935262000.0,170422568804.4
000300.XSHG,2020-04-02,3656.32,3734.53,3734.53,3652.32,11516820900.0,168893255656.6
000300.XSHG,2020-04-03,3721.48,3713.22,3738.83,3698.98,9982508300.0,150132815028.5
000300.XSHG,2020-04-07,3779.91,3798.02,3803.63,3772.21,14277803000.0,207642820316.9
000300.XSHG,2020-04-08,3776.42,3780.34,3793.0,3767.29,11138951300.0,161576772320.2
000300.XSHG,2020-04-09,3798.49,3792.81,3801.72,3785.31,10048503200.0,154595318812.8
000300.XSHG,2020-04-10,3794.84,3769.18,3824.74,3758.96,10244495600.0,162251233800.7
000300.XSHG,2020-04-13,3751.71,3753.26,3769.88,3740.19,7905334300.0,119874303204.6
000300.XSHG,2020-04-14,3777.83,3825.7,3825.76,3764.98,11063758500.0,170612579792.4
000300.XSHG,2020-04-15,3820.85,3797.36,3829.8,3793.44,10846198400.0,169700216633.0
000300.XSHG,2020-04-16,3777.8,3802.38,3807.36,3774.56,9594796500.0,147164302056.9
000300.XSHG,2020-04-17,3831.92,3839.49,3863.45,3821.42,13200430100.0,203595267033.5
000300.XSHG,2020-04-20,3845.46,3853.46,3853.8,3831.55,10001311500.0,151924090116.6
000300.XSHG,2020-04-21,3838.23,3808.05,3838.23,3780.0,10292188800.0,155077454132.0
000300.XSHG,2020-04-22,3789.13,3839.38,3839.38,3782.21,8589946400.0,135547280790.2
000300.XSHG,2020-04-23,3851.91,3829.75,3857.47,3826.56,9550845000.0,142122548831.8
000300.XSHG,2020-04-24,3826.31,3796.97,3827.21,3787.07,9484413500.0,138961200282.7
000300.XSHG,2020-04-27,3808.02,3822.77,3842.87,3793.77,9546273500.0,145301151875.0
000300.XSHG,2020-04-28,3835.35,3849.15,3859.68,3768.2,12209347600.0,184179759240.3
000300.XSHG,2020-04-29,3837.51,3867.03,3880.74,3833.72,9585459000.0,151282103744.2
000300.XSHG,2020-04-30,3880.41,3912.58,3921.7,3880.41,13291712500.0,202268288802.3
000300.XSHG,2020-05-06,3867.26,3936.25,3937.69,3865.99,13985567500.0,214935962364.4
000300.XSHG,2020-05-07,3937.59,3924.89,3941.48,3915.9,10551464600.0,167207801840.2
000300.XSHG,2020-05-08,3943.0,3963.62,3979.66,3935.98,11694334100.0,190299584716.9
